product_id,part_number,product_name,category
1,ASM-29406294,Mounting Bracket 1,Mechanical
2,CNC-93480753,Mounting Bracket 2,Mechanical
3,SW-PH10-V2-N78V2,License Key 3,Software
4,CNC-25619008,Mounting Bracket 4,Mechanical
5,E-2025-000005,Resistor Pack 5,Electronics
6,MEC-29743150,Mounting Bracket 6,Mechanical
7,SW-CS60-V4-92BNC,License Key 7,Software
8,E-2025-000008,Resistor Pack 8,Electronics
9,E-2025-000009,Resistor Pack 9,Electronics
10,SW-PH10-V1-AOM7V,License Key 10,Software
11,E-2025-000011,Resistor Pack 11,Electronics
12,ASM-97153965,Mounting Bracket 12,Mechanical
13,E-2025-000013,Resistor Pack 13,Electronics
14,SW-VS22-V5-5SLXY,License Key 14,Software
15,SW-CS60-V1-12AM7,License Key 15,Software
16,E-2025-000016,Resistor Pack 16,Electronics
17,SW-CS60-V2-83PQ1,License Key 17,Software
18,E-2025-000018,Resistor Pack 18,Electronics
19,E-2025-000019,Resistor Pack 19,Electronics
20,MEC-29308720,Mounting Bracket 20,Mechanical
21,MEC-46053995,Mounting Bracket 21,Mechanical
22,SW-VS22-V3-96LLQ,License Key 22,Software
23,E-2025-000023,Resistor Pack 23,Electronics
24,E-2025-000024,Resistor Pack 24,Electronics
25,SW-VS22-V5-XDN1P,License Key 25,Software
26,MEC-40731402,Mounting Bracket 26,Mechanical
27,E-2025-000027,Resistor Pack 27,Electronics
28,E-2025-000028,Resistor Pack 28,Electronics
29,E-2025-000029,Resistor Pack 29,Electronics
30,E-2025-000030,Resistor Pack 30,Electronics
31,ASM-28555993,Mounting Bracket 31,Mechanical
32,SW-VS22-V4-BTYJS,License Key 32,Software
33,SW-PH10-V5-C28IQ,License Key 33,Software
34,MEC-69401256,Mounting Bracket 34,Mechanical
35,CNC-96264020,Mounting Bracket 35,Mechanical
36,E-2025-000036,Resistor Pack 36,Electronics
37,E-2025-000037,Resistor Pack 37,Electronics
38,E-2025-000038,Resistor Pack 38,Electronics
39,E-2025-000039,Resistor Pack 39,Electronics
40,E-2025-000040,Resistor Pack 40,Electronics
41,SW-CS60-V2-D2WCM,License Key 41,Software
42,E-2025-000042,Resistor Pack 42,Electronics
43,E-2025-000043,Resistor Pack 43,Electronics
44,SW-VS22-V4-7Q7KS,License Key 44,Software
45,E-2025-000045,Resistor Pack 45,Electronics
46,SW-VS22-V1-3IW72,License Key 46,Software
47,E-2025-000047,Resistor Pack 47,Electronics
48,E-2025-000048,Resistor Pack 48,Electronics
49,ASM-63852711,Mounting Bracket 49,Mechanical
50,E-2025-000050,Resistor Pack 50,Electronics
51,CNC-81276200,Mounting Bracket 51,Mechanical
52,SW-PH10-V2-QT7IR,License Key 52,Software
